Unnamed: 0,product_name,selling_price,actual_price,average_rating,rating_and_rivew,ram,SSD,processor,operating_system,exchange_offer,display_size,battery_life
751,Lenovo IdeaPad Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) IdeaPad 5 15ALC05 Thin and ...,"₹55,990","₹78,290",4.3,60 Ratings & 11 Reviews,8 GB DDR4 RAM,512 GB SSD,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display,12 hours
752,ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core 5500U - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) KM5...,"₹55,990","₹78,990",4.5,172 Ratings & 17 Reviews,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display,5 hours
753,ASUS VivoBook Ultra 14 (2021) Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) X413EA-EB531WS Thi...,"₹55,990","₹80,990",4.3,146 Ratings & 10 Reviews,16 GB DDR4 RAM,512 GB SSD,Intel Core i5 Processor (11th Gen),64 bit Windows 11 Operating System,"Upto ₹18,100 Off on Exchange",35.56 cm (14 inch) Display,7 hours
754,ASUS VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) X412FA-EK513T Thin and ...,"₹55,990","₹66,990",4.4,"2,125 Ratings & 251 Reviews",8 GB DDR4 RAM,1 TB HDD|256 GB SSD,Intel Core i5 Processor (10th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",35.56 cm (14 inch) Display,8 hours
755,ASUS VivoBook Ultra 14 (2022) Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) X413EA-EB532WS Thi...,"₹55,990","₹80,990",4.3,146 Ratings & 10 Reviews,16 GB DDR4 RAM,512 GB SSD,Intel Core i5 Processor (11th Gen),64 bit Windows 11 Operating System,"Upto ₹18,100 Off on Exchange",35.56 cm (14 inch) Display,7 hours
756,DELL Vostro Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 5415 Thin and Light Lap...,"₹55,990","₹76,494",5.0,3 Ratings & 1 Reviews,8 GB DDR4 RAM,512 GB SSD,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 Operating System,"Upto ₹18,100 Off on Exchange",35.56 cm (14 inch) Display,10 hours
757,ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core 5500U - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) KM5...,"₹55,990","₹78,990",4.5,746 Ratings & 101 Reviews,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display,6 hours
758,HP Pavilion x360 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14-dy0186TU 2 in 1 Laptop,"₹55,990","₹69,267",4.4,83 Ratings & 7 Reviews,8 GB DDR4 RAM,512 GB SSD,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,"Upto ₹18,100 Off on Exchange",35.56 cm (14 inch) Display,12 hours
759,ASUS Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) X712EA-AU521TS Thin and Light Laptop,"₹55,900","₹82,989",3.7,7 Ratings & 1 Reviews,16 GB DDR4 RAM,512 GB SSD,Intel Core i5 Processor (11th Gen),64 bit Windows 10 Operating System,Bank Offer,43.94 cm (17.3 Inch) Display,6 hours
760,HP 15 Core i5 8th Gen - (8 GB/1 TB HDD/DOS/2 GB Graphics) 15-da0077tx Laptop,"₹55,699","₹55,729",4.2,236 Ratings & 29 Reviews,8 GB DDR4 RAM,,Intel Core i5 Processor (8th Gen),DOS Operating System,Bank Offer,39.62 cm (15.6 inch) Display,6 hours
761,DELL Inspiron 3501 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) Inspiron 3501 Thin and Light L...,"₹38,890","₹55,534",4.3,4 Ratings & 0 Reviews,8 GB DDR4 RAM,256 GB SSD,Intel Core i3 Processor (10th Gen),64 bit Windows 10 Operating System,Bank Offer,38.0 cm (14.96 Inch) Display,6 hours
762,HP Pavilion x360 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dw1037TU 2 in 1 Laptop,"₹55,490","₹65,853",4.3,146 Ratings & 15 Reviews,8 GB DDR4 RAM,512 GB SSD,Intel Core i3 Processor (11th Gen),64 bit Windows 10 Operating System,Bank Offer,35.56 cm (14 inch) Touchscreen Display,12 hours
763,DELL Inspiron Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) INSPIRON 5410 2 in 1 Laptop,"₹55,190","₹68,658",4.3,172 Ratings & 15 Reviews,8 GB DDR4 RAM,256 GB SSD,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,"Upto ₹18,100 Off on Exchange",35.56 cm (14 inch) Touchscreen Display,8 hours
764,Lenovo Ideapad 520 Core i5 8th Gen - (4 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 520-15IKB Laptop,"₹55,099","₹55,139",4.8,5 Ratings & 1 Reviews,4 GB DDR4 RAM,,Intel Core i5 Processor (8th Gen),64 bit Windows 10 Operating System,Bank Offer,39.62 cm (15.6 inch) Display,10 hours
765,DELL INSPIRON 15 3000 Core i5 8th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10/2 GB Graphics) 3583 Lapto...,"₹55,000","₹61,890",4.8,6 Ratings & 3 Reviews,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,Intel Core i5 Processor (8th Gen),64 bit Windows 10 Operating System,Bank Offer,39.62 cm (15.6 inch) Display,8 hours
